INVESTIGATION_ID,AddrLine,House,Street,Type,Direction
5449437,4023 ELLESMERE RD,4023,ELLESMERE,RD,
5497717,118 HEATHERSIDE DR,118,HEATHERSIDE,DR,
5659425,118 HEATHERSIDE DR,118,HEATHERSIDE,DR,
5677949,118 HEATHERSIDE DR,118,HEATHERSIDE,DR,
5499980,118 HEATHERSIDE DR,118,HEATHERSIDE,DR,
5720680,10 HUNTINGDALE BLVD,10,HUNTINGDALE,BLVD,
5456088,48 ARAMAN DR,48,ARAMAN,DR,
5408842,91 ARAMAN DR,91,ARAMAN,DR,
5408941,91 ARAMAN DR,91,ARAMAN,DR,
5476564,91 ARAMAN DR,91,ARAMAN,DR,
5456089,91 ARAMAN DR,91,ARAMAN,DR,
5465449,91 ARAMAN DR,91,ARAMAN,DR,
5723585,91 ARAMAN DR,91,ARAMAN,DR,
5728201,91 ARAMAN DR,91,ARAMAN,DR,
5448475,2 HARLEYFORD GT,2,HARLEYFORD,GT,
5686123,2 HARLEYFORD GT,2,HARLEYFORD,GT,
5399945,4101 SHEPPARD AVE E,4101,SHEPPARD,AVE,E
5399271,4101 SHEPPARD AVE E,4101,SHEPPARD,AVE,E
5494888,2 ARTILLERY ST,2,ARTILLERY,ST,
5494897,2 ARTILLERY ST,2,ARTILLERY,ST,
5487589,2 ARTILLERY ST,2,ARTILLERY,ST,
5487595,2 ARTILLERY ST,2,ARTILLERY,ST,
5493418,2 ARTILLERY ST,2,ARTILLERY,ST,
5522713,2 ARTILLERY ST,2,ARTILLERY,ST,
5488322,2 ARTILLERY ST,2,ARTILLERY,ST,
5544729,11 AMPLEFORD PL,11,AMPLEFORD,PL,
5485613,37 DELBURN DR,37,DELBURN,DR,
5484870,37 DELBURN DR,37,DELBURN,DR,
5499177,37 DELBURN DR,37,DELBURN,DR,
5499188,37 DELBURN DR,37,DELBURN,DR,
5686761,37 DELBURN DR,37,DELBURN,DR,
5691773,37 DELBURN DR,37,DELBURN,DR,
5506148,58 DUNSFOLD DR,58,DUNSFOLD,DR,
5508619,58 DUNSFOLD DR,58,DUNSFOLD,DR,
5508639,58 DUNSFOLD DR,58,DUNSFOLD,DR,
5659785,43 DUNSFOLD DR,43,DUNSFOLD,DR,
5643749,70 MILFORD HAVEN DR,70,MILFORD HAVEN,DR,
5440997,1450 MILITARY TRL,1450,MILITARY,TRL,
5483406,1450 MILITARY TRL,1450,MILITARY,TRL,
5457878,1450 MILITARY TRL,1450,MILITARY,TRL,
5516123,1450 MILITARY TRL,1450,MILITARY,TRL,
5444223,1450 MILITARY TRL,1450,MILITARY,TRL,
5483730,1450 MILITARY TRL,1450,MILITARY,TRL,
5688695,1450 MILITARY TRL,1450,MILITARY,TRL,
5690359,1450 MILITARY TRL,1450,MILITARY,TRL,
5651625,350 MIDDLEFIELD RD,350,MIDDLEFIELD,RD,
5414682,186 MORNINGVIEW TRL,186,MORNINGVIEW,TRL,
5646433,111 MOSSBANK DR,111,MOSSBANK,DR,
5596652,73 NEILSON AVE,73,NEILSON,AVE,
5446576,5 PEGASUS TRL,5,PEGASUS,TRL,
5446577,5 PEGASUS TRL,5,PEGASUS,TRL,
5623423,103 WILSON AVE,103,WILSON,AVE,
5439079,220 BETTY ANN DR,220,BETTY ANN,DR,
5498748,220 BETTY ANN DR,220,BETTY ANN,DR,
5593695,28 CALVERLEY TRL,28,CALVERLEY,TRL,
5575845,28 CALVERLEY TRL,28,CALVERLEY,TRL,
5591764,28 CALVERLEY TRL,28,CALVERLEY,TRL,
5568953,28 CALVERLEY TRL,28,CALVERLEY,TRL,
5704290,28 CALVERLEY TRL,28,CALVERLEY,TRL,
5641169,55 DARNBOROUGH WAY,55,DARNBOROUGH,WAY,
5476469,39 REIDMOUNT AVE,39,REIDMOUNT,AVE,
5522936,39 REIDMOUNT AVE,39,REIDMOUNT,AVE,
5441405,39 REIDMOUNT AVE,39,REIDMOUNT,AVE,
5427921,2465 KENNEDY RD,2465,KENNEDY,RD,
5396804,2465 KENNEDY RD,2465,KENNEDY,RD,
5397143,2465 KENNEDY RD,2465,KENNEDY,RD,
5495988,2465 KENNEDY RD,2465,KENNEDY,RD,
5415153,11 MARILYN AVE,11,MARILYN,AVE,
5409807,11 MARILYN AVE,11,MARILYN,AVE,
5530410,11 MARILYN AVE,11,MARILYN,AVE,
5530411,11 MARILYN AVE,11,MARILYN,AVE,
5531080,11 MARILYN AVE,11,MARILYN,AVE,
5531157,11 MARILYN AVE,11,MARILYN,AVE,
5531163,11 MARILYN AVE,11,MARILYN,AVE,
5531164,11 MARILYN AVE,11,MARILYN,AVE,
5531165,11 MARILYN AVE,11,MARILYN,AVE,
