INVESTIGATION_ID,Location,Sublocation,Desc,Status
5700821,Rear Yard,,"The yard and/or any other part of the property contains dilapidated structure. Nemly, dilapidated pool. Back fill entire pool with soil, or repair pool. ",Open
5709403,Front Yard,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to significant waste in the front yard of the property, namely, discarded and/or broken furniture, cardboard boxes, and loose litter.",Open
5699373,Exterior,Yard,"The fence, screen and/or other enclosure around or on the property is not being maintained in good repair.",Open
5703222,,,The protective/decorative finish on the exterior surfaces is not being maintained in good repair.,Open
5703222,,,The protective/decorative finish on the exterior surfaces is not being maintained in good repair.,Open
5703364,,,Fail to prevent the accumulation of water in a swimming pool not in use pursuant to the Medical Officer of Health.,Open
5692168,Lot,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Open
5694306,Living Room,,"Floor(s) and/or floor covering(s) not maintained free from trip or other hazardous condition. Namely, the Flooring in the Living Room.",Closed
5694306,Bedroom,,"The floor and every appurtenance, surface cover and finish is not maintained.  Namely, the Flooring in the Main Bedroom.",Closed
5694306,Living Room,,"The floor and every appurtenance, surface cover and finish is not maintained. Namely, the Flooring in the Living Room.",Closed
5705168,,,The property is not being kept free of pests.,Open
5692453,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Closed
5691243,Unit 202,Bathroom,"The supplied facility in or on the property is not constructed, installed and/or maintained so that it will function safely and effectively.Namely: The bathtub has peeling paint.",Open
5691243,Unit 202,Inside the unit,The electrical fixtures are not maintained in good working order.Namely: The electrical receptacle are missing covers.,Open
5691243,Unit 202,Kitchen,"The supplied facility in or on the property is not constructed, installed and/or maintained so that it will function safely and effectively.Namely: The lower kitchen cabinets are damaged, with loose sections and chipped doors.",Open
5691243,Unit 202,Inside the unit,"The floor and every appurtenance, surface cover and finish is not reasonably smooth and level. Namely: The flooring in the unit is uneven, with holes, missing sections, and chipped or peeling paint on the parquet.",Open
5691243,Unit 202,Inside the unit,The property is not being kept free of pests.Namely: The unit is infested with cockroaches.,Open
5691243,Unit 202,Bathroom,"The supplied facility in or on the property is not constructed, installed and/or maintained so that it will function safely and effectively.Namely: The bathroom cabinet under sink is covered with the black stains, rust and peeling paint.",Open
5691243,Unit 202,Inside the unit,Interior lighting fixtures or lamps are not maintained.Namely: The light covers are missing.,Open
5691243,Unit 202,Bathroom,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.Namely: The walls are not maintained.",Open
5692768,,,"Permit waste to be thrown, dumped, deposited on a highway within the City, namely,  Wood and brick on city boulevard.",Substantially Complete
5692768,Throughout Property,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to garbage, litter, boxes, wood, and any other debris or waste.",Substantially Complete
5692773,Bathroom,,"The supplied facility in or on the property is not kept in a satisfactory working condition.Namely, the toilet no longer functions correctly. Not flushing properly.",Closed
5694306,Living Room,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials. Namely, the Wall(s) in the Living Room.",Closed
5694306,Apartment,Living Room,"Floor(s) and/or floor covering(s) not maintained free from trip or other hazardous condition. Namely, the Baseboard(s) in the Living Room.",Closed
5694306,Living Room,,"The electrical fixtures are not maintained in good working order. Namely, the Electrical Outlet(s) on the Living Room Wall.",Closed
5694306,Living Room,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials. Namely the Ceiling(s) in the Living Room.",Closed
5694306,Bedroom,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials. Namely, the Ceiling(s) in the Main Bedroom.",Closed
5700579,East Side of Property,,Exterior steps not maintained.,Open
5700579,East Side of Property,,"Step(s), landing(s), ramp(s) and/or similar areas does not afford safe passage.  Namely; trip hazard.",Open
5700581,Throughout Property,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to garbage, tires, wood, metal.",Open
5700582,Throughout Property,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to garbage, furniture, sink.",Open
5690388,Laundry Room,,"The supplied facility in or on the property is not constructed, installed and/or maintained so that it will function safely and effectively.Namely the washing machine in the laundry room is leaking when in use.",Closed
5700956,Building,Front,No eavestrough or roof gutter provided for drainage from roof surfaces.,Closed
5706279,Front Yard,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to furniture.",Closed
5706470,,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5706470,,,Wall(s) not maintained clean.,Open
5706470,,,The property is not being kept free of pests.,Open
5706470,,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5706470,,,Previously finished surface(s) in the public area of the property is not maintained in good repair.,Open
5706470,,,The stairs and/or other appurtenant attachments and/or their supporting structural members are not maintained in a clean and/or sanitary condition.,Open
5706470,,,The stairs and/or other appurtenant attachments and/or their supporting structural members are not maintained in good repair.,Open
5601604,Rear Yard,,"The yards and /or other part of property is not being kept clean and free from accumulation of junk, rubbish, brush, refuse, litter, garbage and/or other debris.",Open
5601604,Rear Yard,,Garbage storage area is not maintained in a clean and odour free condition.,Open
5601604,Rear Yard,,The yard does not have suitable ground cover to prevent recurrent ponding of water.,Open
5601604,Rear Yard,,The grass is not being maintained in a living condition.,Open
5601604,Throughout Property,,The property contains lawns which are overgrown and require trimming.,Open
5601604,Rear Yard,,The yard is not being maintained free of heavy undergrowth.,Open
5684998,,,Handrail not provided for the exterior stairs of single dwelling unit that has more than three risers,Open
5685149,North Side of Building,Parking Area,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to inoperable vehicles with debris stored within the vehicles, multiple storage containers,  beer cases,  waste receptacles filled,  buckets,  discarded dog crates,  and bags of various other types of waste materials",Open
5685160,Front Yard,,"The hedge(s), shrub(s), tree(s) and/or plant has been planted and/or maintained in a manner which is affecting the safety of vehicular or pedestrian traffic.",Open
5685208,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Open
5685219,Rear Yard,,The accessory building is not constructed and/or maintained in good repair.,Open
5685219,Rear Yard,,The property is not being kept free of conditions which may encourage infestation.,Open
5685297,Balcony,,"The (verandah, porch, deck, loading dock, ramp, balcony, fire escape or other similar structure, and/or other appurtenant attachment) and/or the supporting structural member  is not maintained in good repair.",Open
5685297,Balcony,,"The (verandah, porch, deck, loading dock, ramp, balcony, fire escape or other similar structure, and/or other appurtenant attachment) and/or the supporting structural member(s) is not maintained in a clean and/or sanitary condition.",Open
5685297,Bathroom,,"The floor and every appurtenance, surface cover and finish is not maintained.",Open
5685297,Balcony,,Exterior door does not prevent the entry of pests.,Open
5685297,Balcony,,An exterior door has no locking mechanism.,Open
5710078,Stairway,,Required handrails on stairs or ramps are less than 865mm or more than 965mm high,Open
5710078,Stairway,,Height of the guard for the exit stairs are less than 920 millimetres measured vertically to the top of the guard from a line drawn through the outside edges of the stair nosings.,Open
5685733,Exterior,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to: Discarded furniture,broken BBQ machine, broken treadmill, inoperative vehicles and yard waste",Open
5691773,Exterior,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to: Loose litter, cigarette butts and organic waste dumped in re-cycling bins.",Open
5693200,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to tree stumps, leaves and branches.",Open
5706673,Roof Of Building,Chimney/Smoke stack,"Chimney, smoke stack or supporting member is not maintained in good repair and/or free from defects.",Open
5706673,Roof Of Building,Chimney / Smokestack,"The roof or one of it's components is not free from loose, unsecured or unsafe objects and/or materials.",Open
5706680,Rear Yard,,Fence and gate used as part of a swimming pool enclosure which forms the part of the enclosure that separates the pool from any residential building is not constructed of open mesh chain-link fence or equivalent open fence construction.,Open
5706680,Rear Yard,,"Single gate swimming pool enclosure gate is not self closing or equipped with a lockable, self-latching device located on the inside near the top of the gate or on the outside at least 1.5 metres above grade.",Open
5706680,Side Of Property,,"Single gate swimming pool enclosure gate is not self closing or equipped with a lockable, self-latching device located on the inside near the top of the gate or on the outside at least 1.5 metres above grade.",Open
5706680,Side Of Property,,Single gate swimming pool enclosure gate is not kept locked at all times except when the enclosed area is in use.,Open
5706680,Rear Yard,,Swimming pool enclosure is less than 1.2 metres high on single residential property.,Open
5706680,Rear Yard,,"Swimming pool enclosure, including any gate forming part of the enclosure is less than 1.8 metres high, and is closer than one metre to any external condition, which facilitates climbing the outside of the enclosure.",Open
5706680,Rear Yard,,"Swimming pool enclosure, including any gate forming part of the enclosure has an element or attachment between 100 millimetres and 1.2 metres above grade that may facilitate climbing outside of the enclosure.",Open
5706680,Throughout Property,,The swimminig pool enclosure does not comply with this article.,Open
5706706,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Open
5706735,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Open
5706794,Rear,,"The yard contains mechanical equipment, motorized or non-motornized vehicles, trailers, boats or remnant parts thereof that are wrecked, discarded, dismantled or inoperative.",Open
5706794,Rear,South Side of Property,"The fence, screen and/or other enclosure around or on the property is not being maintained in a structurally sound and/or plumb condition.",Open
5706794,Rear,,"Yard area(s) used for motorized vehicular traffic or the parking or storage of motorized vehicles are not paved with either asphalt, concrete, interlocking stone, or other approved environmentally safe and dust-free equivalent.",Open
5706794,Rear,North Side of Property,The retaining wall is not being maintained in good repair.,Open
5692837,Front Yard,,"Roof decks, catwalks and/or related guards are not maintained in good repair.",Open
5692837,,,The exterior walls and their components are not being maintained in good repair.,Open
5692837,Rear Yard,,"The yards and /or other part of property is not being kept clean and free from accumulation of junk, rubbish, brush, refuse, litter, garbage and/or other debris.",Open
5692837,,,The property is not being kept free of pests.,Open
5692837,,,The property is not being kept free of conditions which may encourage infestation.,Open
5692859,Dwelling Unit  -  Bedroom,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.",Closed
5692859,Dwelling Unit  -  Bedroom,,"The plumbing system is not kept free from leaks or defects.Namely, bedroom plumbing pipes in the ceiling are not free of leaks.",Closed
5692967,Bathroom,North,"The plumbing system is not kept free from leaks or defects, specifically, bathtub spigot improperly sized and allowing exposed gaps in tile tub surround.",Closed
5693909,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to, namely, loose litter, food containers, trash and any other items or things that appears to have been discarded or abandoned at the time of inspection.",Open
5684909,Front,,"Permit refuse to be thrown, dumped, deposited on land that is not a highway within the City, including but not limited to; bags, and miscellaneous waste.",Open
5684951,Exterior Of Building,South Side of Building,"Eavestrough, roof gutter, flashing and/or down pipe not maintained in good repair.",Closed
5684951,Exterior Of Building,Throughout Roof Structure,"The roof or one of it's components is not free from loose, unsecured or unsafe objects and/or materials.",Closed
5685035,,,Handrail not provided for the exterior stairs of single dwelling unit that has more than three risers,Open
5685096,,,Eavestrough or roof gutter does not discharge in to a downpipe to drain roof surfaces.,Open
5685096,,,"Above ground discharge from downpipe or pipe is directed to discharge in a manner that is likely to cause a hazard on a stairway, walkway, street and/or boulevard.",Open
5536483,,,The swimminig pool enclosure does not comply with this article.,Open
5685150,West Side of Building,Fire Escape,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to: discarded boxes and debris",Closed
5685277,Front,,Handrail not provided for the exterior stairs of single dwelling unit that has more than three risers,Open
5706563,Bathroom,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5706563,Bathroom,,Ceiling(s) constructed for the purpose of separation is not maintained in a good state of repair.,Open
5686724,,,Elevator(s) is not certified in good working order.,Closed
5702385,Living Room,,Floor(s) and/or floor covering(s) not maintained free from trip or other hazardous condition.Namely: Flooring in the front entrance and Living room found in a state of disrepair ,Open
5693796,Rear Yard,,"Eavestrough, roof gutter, flashing and/or down pipe not maintained in good repair.",Open
5693796, 1st  Floor,Kitchen,All repairs shall ensure that the component repaired can perform its intended function.,Open
5686248,Garbage Room,,Garbage storage area is not maintained in a clean and odour free condition.Namely: Gabage room Deodorizer,Open
5686248,Yard,,Exterior walkway not maintained.Namely : concrete pathway in located in the courtyard,Open
5687594,basement unit,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials. Namely, drywall removed leaving openings in the wall.",Closed by PS Committee
5701503,,,"The tree, plant, limb or branch, which is located on the property is dead and has not been removed or otherwise pruned to remove the dead portion.",Open
5701814,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Open
5706794,Rear,North Side of Property,The light standard(s) supporting artificial light is not kept in good repair and in good working order.,Open
5706918,,,Ceiling not maintained clean.,Open
5706918,,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5706952,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Open
